,location,number_of_accidents
547,"(33.7392, -118.3188)",2
548,"(33.7393, -118.3176)",2
549,"(33.7396, -118.3136)",1
550,"(33.7397, -118.2835)",11
551,"(33.7397, -118.285)",2
552,"(33.7397, -118.2857)",3
553,"(33.7397, -118.2879)",54
554,"(33.7397, -118.2901)",16
555,"(33.7397, -118.2923)",111
556,"(33.7397, -118.2945)",13
557,"(33.7397, -118.2967)",2
558,"(33.7397, -118.3097)",11
559,"(33.7399, -118.3021)",1
560,"(33.74, -118.313)",2
561,"(33.74, -118.3185)",1
562,"(33.7401, -118.2696)",7
563,"(33.7403, -118.2814)",11
564,"(33.7405, -118.2654)",1
565,"(33.7405, -118.2794)",1
566,"(33.7405, -118.2797)",10
567,"(33.7406, -118.2857)",1
568,"(33.7406, -118.2879)",19
569,"(33.7406, -118.2901)",5
570,"(33.7406, -118.2923)",123
571,"(33.7406, -118.2945)",7
572,"(33.7406, -118.2967)",2
573,"(33.7408, -118.2678)",8
574,"(33.7408, -118.3193)",1
575,"(33.741, -118.2838)",18
576,"(33.7412, -118.2924)",29
577,"(33.7413, -118.2643)",5
578,"(33.7415, -118.266)",2
579,"(33.7415, -118.2796)",4
580,"(33.7415, -118.2804)",3
581,"(33.7415, -118.2813)",2
582,"(33.7415, -118.2835)",2
583,"(33.7415, -118.2857)",8
584,"(33.7415, -118.2879)",27
585,"(33.7415, -118.2901)",8
586,"(33.7415, -118.2923)",53
587,"(33.7415, -118.2945)",3
588,"(33.7415, -118.2967)",1
589,"(33.7415, -118.3014)",1
590,"(33.7415, -118.3021)",2
591,"(33.7415, -118.3034)",1
592,"(33.7416, -118.3086)",1
593,"(33.7419, -118.3142)",3
594,"(33.742, -118.2649)",12
595,"(33.742, -118.3139)",1
596,"(33.7421, -118.3102)",58
597,"(33.7421, -118.311)",6
598,"(33.7423, -118.3196)",4
599,"(33.7424, -118.2796)",1
600,"(33.7424, -118.2804)",3
601,"(33.7424, -118.2813)",5
602,"(33.7424, -118.2835)",6
603,"(33.7424, -118.2857)",10
604,"(33.7424, -118.2879)",24
605,"(33.7424, -118.2901)",5
606,"(33.7424, -118.2923)",69
607,"(33.7424, -118.2945)",17
608,"(33.7424, -118.2967)",4
609,"(33.7424, -118.3025)",1
610,"(33.7425, -118.3065)",2
611,"(33.7425, -118.3087)",1
612,"(33.7428, -118.2444)",9
613,"(33.743, -118.3185)",1
614,"(33.7432, -118.319)",6
615,"(33.7433, -118.2796)",22
616,"(33.7433, -118.2804)",5
617,"(33.7433, -118.2813)",4
618,"(33.7433, -118.2835)",16
619,"(33.7433, -118.2857)",12
620,"(33.7433, -118.2879)",64
621,"(33.7433, -118.2901)",15
622,"(33.7433, -118.2923)",139
623,"(33.7433, -118.2934)",5
624,"(33.7433, -118.2945)",23
625,"(33.7433, -118.2956)",4
626,"(33.7433, -118.2967)",30
627,"(33.7434, -118.2989)",3
628,"(33.7434, -118.3005)",1
629,"(33.7434, -118.3009)",2
630,"(33.7434, -118.302)",6
631,"(33.7434, -118.3043)",18
632,"(33.7434, -118.3065)",13
633,"(33.7434, -118.3087)",8
634,"(33.7434, -118.3097)",33
635,"(33.7434, -118.3098)",31
636,"(33.7434, -118.3151)",2
637,"(33.7437, -118.3108)",2
638,"(33.7438, -118.2659)",3
639,"(33.7439, -118.2601)",14
640,"(33.7439, -118.3137)",2
641,"(33.7441, -118.3004)",2
642,"(33.7441, -118.3016)",1
643,"(33.7441, -118.302)",2
644,"(33.7441, -118.3043)",2
645,"(33.7441, -118.3117)",4
646,"(33.7441, -118.3127)",2
647,"(33.7442, -118.2796)",14
648,"(33.7442, -118.2804)",5
649,"(33.7442, -118.2813)",5
650,"(33.7442, -118.2817)",3
651,"(33.7442, -118.2821)",1
652,"(33.7442, -118.2835)",2
653,"(33.7442, -118.2857)",6
654,"(33.7442, -118.2879)",33
655,"(33.7442, -118.2901)",24
656,"(33.7442, -118.2923)",53
657,"(33.7442, -118.3043)",1
658,"(33.7442, -118.3065)",1
659,"(33.7443, -118.3088)",55
660,"(33.7446, -118.2587)",37
661,"(33.7446, -118.2967)",1
662,"(33.7446, -118.3097)",11
663,"(33.7447, -118.2923)",22
664,"(33.7447, -118.2945)",4
665,"(33.7447, -118.2979)",1
666,"(33.7447, -118.2989)",1
667,"(33.7449, -118.3109)",2
668,"(33.745, -118.2796)",1
669,"(33.7451, -118.2835)",16
670,"(33.7451, -118.2857)",12
671,"(33.7451, -118.2873)",1
672,"(33.7451, -118.2879)",18
673,"(33.7451, -118.2901)",9
674,"(33.7451, -118.2923)",18
675,"(33.7452, -118.302)",2
676,"(33.7452, -118.3042)",1
677,"(33.7452, -118.3043)",2
678,"(33.7454, -118.2923)",1
679,"(33.7455, -118.2923)",3
680,"(33.7456, -118.2923)",14
681,"(33.7456, -118.2934)",5
682,"(33.7456, -118.2935)",1
683,"(33.7456, -118.2945)",8
684,"(33.7456, -118.2967)",3
685,"(33.7456, -118.2989)",4
686,"(33.7457, -118.2612)",2
687,"(33.7457, -118.2989)",1
688,"(33.7457, -118.302)",1
689,"(33.746, -118.2796)",18
690,"(33.746, -118.2804)",2
691,"(33.746, -118.2817)",7
692,"(33.746, -118.2835)",8
693,"(33.746, -118.2857)",12
694,"(33.746, -118.2879)",19
695,"(33.746, -118.2901)",8
696,"(33.746, -118.2917)",1
697,"(33.746, -118.2923)",18
698,"(33.7461, -118.2923)",13
699,"(33.7462, -118.302)",1
